都道府県,市区町村,ファイル数,マップ発行年月,最終更新年月,日付の根拠,公式ページURL,備考
大阪府,大阪市,60,2021年7月,2025年5月,ファイル名（202107/202403/202505）,https://www.city.osaka.lg.jp/kikikanrishitsu/page/0000299877.html,西淀川・淀川・東淀川区の地図面は2024年3月更新。淀川区差込版のみ2025年5月更新
大阪府,枚方市,30,2021年4月,2025年8月,ページ更新日,https://www.city.hirakata.osaka.jp/0000017941.html,公開日2021年4月1日。最終ページ更新2025年8月25日
大阪府,交野市,18,2023年9月,,発行日明記,https://www.city.katano.osaka.jp/docs/2020091600031/,令和5年9月発行・全戸配布。ページ最終更新2025年12月17日
大阪府,大東市,17,不明,2025年9月,ページ更新日,https://www.city.daito.lg.jp/site/bousai/1498.html,令和7年9月更新の総合防災マップ
大阪府,豊中市,16,不明,2021年9月,ページ更新日,https://www.city.toyonaka.osaka.jp/kurashi/bosai/bousai_info/hazardmap/sinsuiHM.html,浸水ハザードマップ更新日2021年9月3日
大阪府,摂津市,14,不明,2025年1月,ページ更新日,https://www.city.settsu.osaka.jp/soshiki/soumubu/bousaikikikannrika/bousai/suigaitaisaku/25412.html,令和7年1月22日更新
大阪府,高槻市,13,2021年,2024年7月,ページ更新日,https://www.city.takatsuki.osaka.jp/soshiki/55/4004.html,2021年改訂版が基本。2024年7月（令和6年7月）に一部更新
大阪府,吹田市,10,2022年3月,,ファイル名（202203）,https://www.city.suita.osaka.jp/kurashi/bosai/000/p003581.html,洪水全域マップのファイル名にsuitafloodhmjpn202203。内水マップの発行日は不明
大阪府,守口市,9,2019年8月,2025年12月,ページ記載,https://www.city.moriguchi.osaka.jp/kakukanoannai/kikikanrishitsu/bousaihazaadomappu/3702.html,令和元年8月配布。令和7年12月修正版
大阪府,茨木市,9,2021年6月,2024年11月,ページ更新日,https://www.city.ibaraki.osaka.jp/kikou/soumu/kikikanri/menu/booklet/suigaidosyasaigaihazadomappu/58463.html,令和3年6月初版。令和6年11月1日更新
大阪府,池田市,8,2022年3月,2025年3月,ファイル名・ページ更新日,https://www.city.ikeda.osaka.jp/soshiki/sogoseisaku/kikikanri/bousai/kozui/15148.html,令和4年3月版が基本（ファイル名に230915あり）。2025年3月7日最終更新
大阪府,四條畷市,6,2023年1月,,発行日明記,https://www.city.shijonawate.lg.jp/site/bousai/9101.html,令和5年1月改定・2月全戸配布
大阪府,東大阪市,4,不明,2025年10月,ページ更新日,https://www.city.higashiosaka.lg.jp/kikikanri/0000030406.html,2023年6月22日公開。2025年10月1日更新
大阪府,寝屋川市,3,2022年3月,2024年7月,ページ更新日,https://www.city.neyagawa.osaka.jp/organization_list/kikikanri/bousaika/hinanbasyo/1376645989698.html,2022年3月大幅改定。2024年7月2日更新
大阪府,箕面市,3,2021年6月,,ファイル名（030624）,https://www.city.minoh.lg.jp/bousai/hazardmap/hazardmap_top.html,ファイル名に030624（令和3年6月24日）を含む版あり
大阪府,島本町,3,不明,不明,取得不可（403エラー）,https://www.town.shimamoto.lg.jp/site/bousai/30122.html,ソースページにアクセス不可のため要手動確認
大阪府,門真市,2,不明,2025年6月,ページ更新日,https://www.city.kadoma.osaka.jp/kurashi/anshin/4/4/4358.html,令和7年6月修正版。ページ更新2025年8月25日
京都府,京都市,22,2021年5月,2024年8月,発行日明記,https://www.bousai.city.kyoto.lg.jp/0000000143.html,令和3年5月発行。山科区地図面のみ令和6年8月更新
京都府,宇治市,4,不明,2025年6月,ページ更新日,https://www.city.uji.kyoto.jp/soshiki/25/5123.html,ページ更新2025年6月2日。マップ自体の発行日は要確認
京都府,亀岡市,12,不明,2021年7月,ページ更新日,https://www.city.kameoka.kyoto.jp/soshiki/15/2470.html,ページ更新2021年7月12日。マップ自体の発行日は要確認
京都府,城陽市,3,2024年12月,,発行日明記（ファイル名）,https://www.city.joyo.kyoto.jp/0000001149.html,ファイル名にR6.12（令和6年12月）明記
京都府,向日市,14,2022年,,ファイル名・ページ記載,https://www.city.muko.kyoto.jp/soshiki/11/3199.html,令和4年（2022年）版
京都府,長岡京市,22,2025年3月,,発行日明記,https://www.city.nagaokakyo.lg.jp/0000000329.html,令和7年3月発行。ファイル名にR7が明記
京都府,八幡市,13,2022年,,ファイル名・ページ記載,https://www.city.yawata.kyoto.jp/0000000570.html,令和4年（2022年）版。ファイル名にR4が明記
京都府,京田辺市,4,2023年,,ファイル名・ページ記載,https://www.city.kyotanabe.lg.jp/0000002071.html,令和5年（2023年）版。ファイル名にR5が明記
京都府,木津川市,8,2025年3月,,発行日明記,https://www.city.kizugawa.lg.jp/index.cfm/6,13034,12,369,html,令和7年3月更新。ファイル名に20250328/20250331が含まれる
京都府,大山崎町,6,不明,2019年7月,ページ更新日,http://www.town.oyamazaki.kyoto.jp/annai/somuka/kikikanri/hinanjo/1383.html,ページ更新2019年7月11日。マップ自体の発行日は要確認
京都府,久御山町,8,2025年3月,,発行日明記,http://www.town.kumiyama.lg.jp/0000000882.html,令和7年3月更新。ファイル名に20250327が含まれる
